0,1,2,3,4,5,6
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,11706465,85,35,3,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,34687180,97,31,9,25.0
0B3N0ZINFWvizfa8bKiz4v,James TW,734379,74,23,1,
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,536922,76,20,1,
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,3079237,93,21,1,
0EFisYRi20PTADoJrifHrz,Jhay Cortez,1508495,89,26,1,
0GM7qgcRCORpGnfcN2tCiB,Tainy,215786,83,31,1,
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,19592190,89,38,1,12.0
0KPX4Ucy9dk82uj4GpKesn,Dalex,2859623,85,30,1,
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,6507406,86,20,1,
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,544118,77,25,1,
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,14141958,93,29,1,1.0
0YinUQ50QDB7ZxSCLyQ40k,Mustard,786975,80,30,1,
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,3372418,81,27,2,
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,23723867,91,22,4,
19ra5tSw0tWufvUp8GotLo,George Michael,2817046,76,57,1,4.0
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,5126787,80,21,1,
1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,106268,74,20,1,
1MIVXf74SZHmTIp4V4paH4,Mabel,1076583,79,24,2,
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,2101655,77,21,2,2.0
1r4hJ1h58CWwUQe3MxPuau,Maluma,22484820,92,26,1,1.0
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,13416802,87,39,2,1.0
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,40499222,96,26,4,2.0
1vCWHaC5f2uS3yhpwWbIA6,Avicii,18684913,83,31,6,5.0
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,24732249,95,35,1,2.0
23fqKkggKUBHNkbKtXEls4,Kygo,6986099,86,29,4,4.0
246dkjvS1zLTtiykXe5h60,Post Malone,29993267,92,25,2,1.0
2cWZOOzeOm4WmBJRnD5R7I,Normani,1049994,74,24,1,
2feDdbD5araYcm6JhFHHw7,Labrinth,1426263,82,31,1,
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,3389310,84,28,1,
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,5707119,88,24,1,
2NjfBq1NflQcKSeiDooVjY,Tones And I,2446711,81,20,1,5.0
2oX42qP5ineK3hrhBECLmj,Andy Grammer,875520,76,37,1,
2SrSdSvpminqmStGELCSNd,Stormzy,2080990,79,27,1,2.0
2wY79sveU1sp5g7SokKOiI,Sam Smith,14723946,89,28,1,6.0
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,1330772,80,23,1,
3l0CmX0FuQjFxr8SK7Vqag,Clairo,1996825,83,22,1,
3TVXtAsR1Inumwj472S9r4,Drake,51433578,96,34,1,9.0
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,11690386,78,22,1,
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,3145940,81,18,1,
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,6165901,86,24,3,2.0
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,3896572,80,23,1,
4IWBUUAFIplrNtaOHcJPRM,James Arthur,7096021,85,32,3,
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,14187866,97,22,1,1.0
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,19175190,85,23,1,19.0
4obzFoKoKRHIphyHzJ35G3,Becky G,9531521,82,23,1,
4ofCBoyEiGSePFAG500xev,Regard,110688,78,27,1,
4q3ewBCX7sLwd24euuV69X,Bad Bunny,27821322,100,26,1,2.0
4r63FhuTkUYltbVAg5TQnk,DaBaby,5207083,93,29,1,
4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,1480220,78,23,1,
4SsVbpTthjScTS7U2hmr1X,Arcangel,5791141,86,20,1,
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",5507515,84,29,4,
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,9043391,78,42,3,8.0
4xRYI6VqpkE3UwrDrAZL8L,Logic,5087706,82,30,6,1.0
50co4Is1HCEo8bhOyUWKpn,Young Thug,5758648,90,29,1,
540vIaP2JwjQb9dm3aArA4,DJ Snake,7152820,80,34,1,4.0
56oDRnqbIiwx4mymNEv7dS,Lizzo,3411497,77,32,2,6.0
57LYzLEk2LcFghVwuWbcuS,Summer Walker,1856894,80,24,1,
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,4553419,86,25,1,1.0
5fMUXHkw8R8eOP2RNVYEZX,Diplo,2325640,85,42,4,1.0
5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,382724,76,23,1,
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,12928625,90,43,4,11.0
5KNNVgR6LBIABRIomyCwKJ,Dermot Kennedy,799284,81,29,1,
5WUlDfRSoLAfcVSX1WnrxN,Sia,18059881,89,45,2,
5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,3103646,83,18,1,
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,8768732,81,25,1,
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,54514370,98,27,4,5.0
66ihevNkSYNzRAl44dx6jJ,Carin Leon,1108843,79,31,4,
6AgTAQt8XS6jRWi4sX7w49,Polo G,2669798,87,21,1,
6ASri4ePR7RlsvIQgWPJpS,iann dior,895842,88,21,1,
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,73467632,91,29,3,9.0
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,605473,88,20,1,
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,2137367,85,19,1,
6KImCVD70vtIoJWnq6nGn3,Harry Styles,11288672,90,26,2,
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,12229838,86,35,1,
6LuN9FCkKOj5PcnpouEgny,Khalid,13084975,90,22,2,
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,21504723,93,25,1,5.0
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,36576152,92,19,4,15.0
6QtgPSJPSzcnn7dPZ4VINp,King Von,610262,81,26,1,
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,2852593,87,30,2,
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,5652380,88,21,1,
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,6091911,80,57,1,2.0
718COspgdWOnwOFpJHRZHS,Luke Combs,3991379,85,30,1,
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,5036878,88,22,2,
77ziqFxp5gaInVrF2lj4ht,Sech,6540446,90,27,2,
790FomKkXshlbRYZFtlgla,KAROL G,13671409,89,29,1,1.0
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,3819592,82,21,1,5.0
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,30486014,92,22,4,1.0
7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,2597380,79,22,1,1.0
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,5982081,86,21,1,
